,recall@5,recall@10,ndcg@5,ndcg@10
Content-based,0.9810628019323672,0.9840579710144928,0.9952943227124128,0.9888550967559422
Collaborative Filtering,0.9993236714975844,1.0,0.9225755903049538,0.9487732705646924
Hybrid(product),0.959806763285024,0.9655072463768116,0.991648751905216,0.9788570394222976
Hybrid(harmonic),0.9801932367149758,0.9835748792270532,0.9955525926242326,0.988158443669126
