userId,aloneHow,eatAlone,eatDate,eatTogether
0,집에서 음식을 해 먹는다.,볶음밥,파스타,
1,밖에서 사 먹는다.,*오므라이스,돈부리*,,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*
2,밖에서 사 먹는다.,*오므라이스,돈부리*,파스타,떡볶이
3,밖에서 사 먹는다.,제육볶음,스테이크,막창
4,배달을 시킨다.,햄버거,파스타,닭갈비
5,배달을 시킨다.,치킨,돈까스,치킨
6,밖에서 사 먹는다.,컵밥,파스타,파스타
7,밖에서 사 먹는다.,볶음밥,,삼겹살
8,집에서 음식을 해 먹는다.,파스타,,치킨
9,집에서 음식을 해 먹는다.,라면,파스타,파스타
10,집에서 음식을 해 먹는다.,라면,파스타,제육볶음
11,밖에서 사 먹는다.,라면,파스타,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*
12,집에서 음식을 해 먹는다.,*볶음밥,비빔밥*,*비빔밥,김치찌개,된장찌개,부대찌개,볶음밥,갈비탕,설렁탕,순대국,청국장*,닭갈비
13,밖에서 사 먹는다.,라면,,삼겹살
14,밖에서 사 먹는다.,샌드위치,파스타,라멘
15,밖에서 사 먹는다.,볶음밥,파스타,돈부리
16,밖에서 사 먹는다.,*김치찌개,된장찌개,부대찌개*,,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*
17,밖에서 사 먹는다.,*떡볶이,순대,만두*,파스타,삼겹살
18,밖에서 사 먹는다.,컵밥,파스타,*떡볶이,순대,만두*
19,밖에서 사 먹는다.,햄버거,*파스타,스테이크*,*곱창,막창,전,수육*
20,밖에서 사 먹는다.,김밥,,치킨
21,밖에서 사 먹는다.,회,피자,회
22,집에서 음식을 해 먹는다.,비빔밥,파스타,초밥
23,밖에서 사 먹는다.,*김치찌개,된장찌개,부대찌개*,뼈해장국,삼겹살
24,밖에서 사 먹는다.,컵밥,초밥,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*
25,집에서 음식을 해 먹는다.,라면,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*,떡볶이
26,배달을 시킨다.,비빔밥,*파스타,스테이크*,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*
27,배달을 시킨다.,피자,,치킨
28,배달을 시킨다.,떡볶이,,떡볶이
29,집에서 음식을 해 먹는다.,김밥,돈까스,치킨
30,밖에서 사 먹는다.,라멘,피자,회
31,집에서 음식을 해 먹는다.,*비빔밥,볶음밥*,,*불고기,삼겹살,수육,족발,스테이크,함박스테이크,갈비찜,찜닭,소고기,갈비,오리고기,양고기,떡갈비*
32,밖에서 사 먹는다.,컵밥,파스타,치킨
33,밖에서 사 먹는다.,컵밥,,
34,밖에서 사 먹는다.,비빔밥,,치킨
35,밖에서 사 먹는다.,샌드위치,돈부리,치킨
