userIndex,aloneHow,eatAlone,eatDate,eatTogether
105,밖에서 사 먹는다.,보쌈정식,,치킨
106,밖에서 사 먹는다.,돈까스,함박스테이크,돈까스
107,밖에서 사 먹는다.,소바,,삼겹살
108,밖에서 사 먹는다.,짱뽕,닭갈비,닭갈비
109,배달을 시킨다.,컵밥(지지고),양식,고기
110,배달을 시킨다.,햄버거,,파스타
111,밖에서 사 먹는다.,라멘,초밥,치킨
112,집에서 음식을 해 먹는다.,카레,파스타,고기
113,배달을 시킨다.,피자,파스타,치킨
114,밖에서 사 먹는다.,백반(학식메뉴에따라다름),,파스타
115,밖에서 사 먹는다.,밥,파스타,샤브샤브
116,집에서 음식을 해 먹는다.,볶음밥,한식,한식
117,밖에서 사 먹는다.,돈부리,,치킨
118,밖에서 사 먹는다.,김밥,잡식,삼겹살
119,밖에서 사 먹는다.,제육덮밥,제육덮밥,제육덮밥
120,밖에서 사 먹는다.,밥버거,여자친구가 그날원하는 음식,돈가스
121,밖에서 사 먹는다.,해장국,그날 먹고싶은 음식,나가사키짬뽕탕
122,밖에서 사 먹는다.,컵라면,,삼겹살
123,배달을 시킨다.,치킨,,치킨
124,집에서 음식을 해 먹는다.,과자,햄버거,삼겹살
125,밖에서 사 먹는다.,찌개류,치킨맥주,치킨맥주
126,집에서 음식을 해 먹는다.,볶음밥,고기,덮밥
127,밖에서 사 먹는다.,컵밥,,치킨
128,밖에서 사 먹는다.,볶음밥,곱창,고기
129,밖에서 사 먹는다.,초밥,데이트를 안 함,족발
130,집에서 음식을 해 먹는다.,계란프라이,돈까스,삼겹살
131,집에서 음식을 해 먹는다.,김치볶음밥,파스타,치킨
132,집에서 음식을 해 먹는다.,파스타,,삼겹살
133,집에서 음식을 해 먹는다.,라면,파스타,치킨
134,집에서 음식을 해 먹는다.,백반,...?,햄버거
135,밖에서 사 먹는다.,샌드위치,세계음식,세계음식
136,밖에서 사 먹는다.,햄버거,,친구가 먹고 싶은거
137,밖에서 사 먹는다.,김밥,피자,고기
138,집에서 음식을 해 먹는다.,라면,,보쌈
139,집에서 음식을 해 먹는다.,국수,해물탕,한정식
140,밖에서 사 먹는다.,학식,끙...,삼겹살
141,밖에서 사 먹는다.,떡볶이,,감자탕
142,집에서 음식을 해 먹는다.,김밥,,치킨
143,집에서 음식을 해 먹는다.,라면,곱창,치킨
144,배달을 시킨다.,샌드위치,,엽기떡볶이
