,recall@5,recall@10,ndcg@5,ndcg@10
Content-based,0.9193236714975846,0.9810628019323671,0.925258678753534,0.8934172512952628
Collaborative Filtering,0.9936231884057971,0.9975845410628018,0.8814487229895915,0.9187748114791828
Hybrid(product),0.996135265700483,0.9972946859903381,0.947568468227324,0.9629534064940362
Hybrid(harmonic),0.9942028985507246,0.9971014492753623,0.9540389750675695,0.9678022831351285
